"Time","Event","Status","IP","Location","InternetProvider","AppVersion","Device","Protection"
"2025-08-03T16:31:39.000Z","Sign in success","success","185.98.168.34","","","windows-drive@1.11.1","","OK"
"2025-08-03T16:31:21.000Z","Sign in success (awaiting second factor)","attempt","185.98.168.34","Georgia, United States","Datacamp","windows-drive@1.11.1","ProtonDrive, Windows","OK"
"2025-08-03T16:06:24.000Z","Sign in success","success","185.98.168.34","","","web-account@5.0.272.0","","OK"
"2025-08-03T16:06:06.000Z","Sign in success (awaiting second factor)","attempt","185.98.168.34","Georgia, United States","Datacamp","web-account@5.0.272.0","Brave, Windows","OK"
"2025-08-03T16:05:33.000Z","Sign in failure (wrong password) (attempt)","failure","185.98.168.34","Georgia, United States","Datacamp","web-account@5.0.272.0","Brave, Windows","Blocked"
"2025-06-24T16:04:29.000Z","Sign in success","success","35.149.110.2","","","macos-vpn@4.8.0","","OK"
"2025-06-24T16:04:12.000Z","Sign in success (awaiting second factor)","attempt","35.149.110.2","Michigan, United States","Spectrum","macos-vpn@4.8.0","ProtonVPN, MacOS","OK"
"2025-06-24T15:41:39.000Z","Sign in success","success","149.102.227.58","","","macos-pass@1.29.8","","OK"
"2025-06-24T15:41:08.000Z","Sign in success (awaiting second factor)","attempt","149.102.227.58","Virginia, United States","Cogent Communications","macos-pass@1.29.8","ProtonPass, MacOS","OK"
"2025-05-01T00:39:12.000Z","Sign in success","success","74.83.67.210","","","web-account@5.0.237.0","","OK"
"2025-05-01T00:38:51.000Z","Sign in success (awaiting second factor)","attempt","74.83.67.210","Ohio, United States","altafiber","web-account@5.0.237.0","Edge, Windows","OK"
"2025-04-27T16:48:35.000Z","Sign in success","success","74.83.67.210","","","ios-calendar@2.16.2","","OK"
"2025-04-27T16:48:18.000Z","Sign in success (awaiting second factor)","attempt","74.83.67.210","Ohio, United States","altafiber","ios-calendar@2.16.2","ProtonCalendar, iPhone","OK"
"2025-04-25T17:34:48.000Z","Sign in success","success","149.22.94.137","","","windows-drive@1.10.0","","OK"
"2025-04-25T17:34:33.000Z","Sign in success (awaiting second factor)","attempt","149.22.94.137","Georgia, United States","Cogent Communications","windows-drive@1.10.0","ProtonDrive, Windows","OK"
"2025-04-25T11:58:28.000Z","Sign in success","success","74.83.67.210","","","web-account@5.0.236.0","","OK"
"2025-04-25T11:58:15.000Z","Sign in success (awaiting second factor)","attempt","74.83.67.210","Ohio, United States","altafiber","web-account@5.0.236.0","Edge, Windows","OK"
"2025-04-25T05:22:46.000Z","Sign in success","success","74.83.67.210","","","windows-mail@5.0.236.0+id1.7.1","","OK"
"2025-04-25T05:22:33.000Z","Sign in success (awaiting second factor)","attempt","74.83.67.210","Ohio, United States","altafiber","windows-mail@5.0.236.0+id1.7.1","Electron, Windows","OK"
"2025-04-25T05:22:26.000Z","Sign in failure (wrong password) (attempt)","failure","74.83.67.210","Ohio, United States","altafiber","windows-mail@5.0.236.0+id1.7.1","Electron, Windows","Blocked"
"2025-04-25T01:13:26.000Z","Sign in success","success","163.5.171.40","","","windows-pass@1.30.0","","OK"
"2025-04-25T01:13:24.000Z","Sign in failure (second factor failed) (attempt)","failure","163.5.171.40","","","windows-pass@1.30.0","","Blocked"
"2025-04-25T01:13:14.000Z","Sign in success (awaiting second factor)","attempt","163.5.171.40","New Jersey, United States","ProtonVPN","windows-pass@1.30.0","ProtonPass, Windows","OK"
"2025-04-25T01:01:04.000Z","Sign in success","success","154.47.22.104","","","windows-mail@5.0.236.0+id1.8.0","","OK"
"2025-04-25T01:00:54.000Z","Sign in success (awaiting second factor)","attempt","154.47.22.104","Virginia, United States","ProtonVPN","windows-mail@5.0.236.0+id1.8.0","Electron, Windows","OK"
"2025-04-24T20:29:17.000Z","Sign in success","success","154.47.25.250","","","linux-mail@5.0.236.0+id1.8.0","","OK"
"2025-04-24T20:29:10.000Z","Sign in success (awaiting second factor)","attempt","154.47.25.250","Illinois, United States","Cogent Communications","linux-mail@5.0.236.0+id1.8.0","Electron, Linux","OK"
"2025-04-24T20:27:59.000Z","Sign in success","success","154.47.25.250","","","web-account@5.0.236.0","","OK"
"2025-04-24T20:27:51.000Z","Sign in success (awaiting second factor)","attempt","154.47.25.250","Illinois, United States","Cogent Communications","web-account@5.0.236.0","Firefox, Ubuntu","OK"
"2025-04-24T20:25:58.000Z","Sign in success","success","154.47.25.250","","","linux-pass@1.31.1","","OK"
"2025-04-24T20:25:45.000Z","Sign in success (awaiting second factor)","attempt","154.47.25.250","Illinois, United States","Cogent Communications","linux-pass@1.31.1","ProtonPass, Linux","OK"
"2025-04-16T01:29:57.000Z","Sign in success","success","74.83.67.210","","","macos-vpn@4.8.0","","OK"
"2025-04-16T01:29:47.000Z","Sign in success (awaiting second factor)","attempt","74.83.67.210","Ohio, United States","altafiber","macos-vpn@4.8.0","ProtonVPN, MacOS","OK"
"2025-04-16T01:28:09.000Z","Sign in success","success","74.83.67.210","","","macos-pass@1.29.8","","OK"
"2025-04-16T01:27:55.000Z","Sign in success (awaiting second factor)","attempt","74.83.67.210","Ohio, United States","altafiber","macos-pass@1.29.8","ProtonPass, MacOS","OK"
"2025-03-29T05:32:45.000Z","Sign in success","success","74.83.67.210","","","linux-vpn-gui@4.9.5+x86-64","","OK"
"2025-03-29T05:32:23.000Z","Sign in success (awaiting second factor)","attempt","74.83.67.210","Ohio, United States","altafiber","linux-vpn-gui@4.9.5+x86-64","ProtonVPN, Linux","OK"
"2025-03-27T23:22:13.000Z","Sign in success","success","151.243.141.92","","","windows-pass@1.30.1","","OK"
"2025-03-27T23:21:25.000Z","Sign in success (awaiting second factor)","attempt","151.243.141.92","New Jersey, United States","Proton","windows-pass@1.30.1","ProtonPass, Windows","OK"
"2025-03-27T22:25:01.000Z","Authentication success","success","151.243.141.92","","","web-account@5.0.229.0","","OK"
"2025-03-27T22:23:35.000Z","Sign in success","success","151.243.141.92","","","web-account@5.0.229.0","","OK"
"2025-03-27T22:23:13.000Z","Sign in success (awaiting second factor)","attempt","151.243.141.92","New Jersey, United States","Proton","web-account@5.0.229.0","Edge, Windows","OK"
"2025-03-27T03:16:47.000Z","Recovery by phone number disabled","success","74.83.67.210","Ohio, United States","altafiber","web-account@5.0.229.0","DuckDuckGo Mobile, iPhone","OK"
"2025-03-27T03:16:47.000Z","Authentication success","success","74.83.67.210","","","web-account@5.0.229.0","","OK"
"2025-03-27T03:15:57.000Z","Sign in success","success","74.83.67.210","","","web-account@5.0.229.0","","OK"
"2025-03-27T03:15:46.000Z","Sign in success (awaiting second factor)","attempt","74.83.67.210","Ohio, United States","altafiber","web-account@5.0.229.0","DuckDuckGo Mobile, iPhone","OK"
